file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim
1035,/2026-01-03,PXL_20260102_211129730.jpg,2766597,-36.877933,174.764736,4080,3072,2026:01:03 10:11:29,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.564,2026-01-03/PXL_20260102_211734764.jpg,F,0.834314
1036,/2026-01-03,PXL_20260102_211132212.jpg,3546515,-36.877933,174.764736,4080,3072,2026:01:03 10:11:32,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.537,2026-01-03/PXL_20260102_210320508.PANO.jpg,F,0.825061
1037,/2026-01-03,PXL_20260102_211134740.jpg,3976951,-36.877933,174.764736,4080,3072,2026:01:03 10:11:34,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.823,,F,-1
1038,/2026-01-03,PXL_20260102_211328018.PANO.jpg,10519322,-36.878119,174.764492,16768,2688,2026:01:03 10:13:28,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.291,2026-01-03/PXL_20260102_201636679.PANO.jpg,F,0.807199
1039,/2026-01-03,PXL_20260102_211503846.PANO.jpg,10836872,-36.878164,174.764533,17024,2496,2026:01:03 10:15:03,0232,Google,Pixel 8 Pro,1, ,good,4,,5.105,2026-01-03/PXL_20260102_201636679.PANO.jpg,F,0.814317
1040,/2026-01-03,PXL_20260102_211542313.jpg,3503818,-36.878164,174.764533,4080,3072,2026:01:03 10:15:42,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.934,2026-01-03/PXL_20260102_211734764.jpg,F,0.833231
1041,/2026-01-03,PXL_20260102_211553329.jpg,2897832,-36.878164,174.764533,4080,3072,2026:01:03 10:15:53,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.496,2026-01-03/PXL_20260102_211734764.jpg,F,0.823762
1042,/2026-01-03,PXL_20260102_211734764.jpg,4214127,-36.8782,174.76425,4080,3072,2026:01:03 10:17:34,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.219,,T,-1
1043,/2026-01-03,PXL_20260102_212302036.jpg,3956082,-36.877036,174.76335,4080,3072,2026:01:03 10:23:02,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.186,2026-01-03/PXL_20260102_211734764.jpg,F,0.840588
1044,/2026-01-03,PXL_20260102_212304539.jpg,3322453,-36.877036,174.76335,4080,3072,2026:01:03 10:23:04,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.457,2026-01-03/PXL_20260102_211734764.jpg,F,0.886448
1045,/2026-01-03,PXL_20260102_212335880.jpg,2110747,-36.877036,174.76335,3648,2736,2026:01:03 10:23:35,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.388,2026-01-03/PXL_20260102_212336696.jpg,F,0.963471
1046,/2026-01-03,PXL_20260102_212336696.jpg,2081071,-36.877036,174.76335,3648,2736,2026:01:03 10:23:36,0232,Google,Pixel 8 Pro,1, ,good,4,,4.436,,T,-1
1047,/2026-01-03,PXL_20260102_212557271.jpg,3992084,-36.877036,174.76335,3072,4080,2026:01:03 10:25:57,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.812,2026-01-03/PXL_20260102_212559336.jpg,F,0.932994
1048,/2026-01-03,PXL_20260102_212559336.jpg,3963441,-36.877036,174.76335,4080,3072,2026:01:03 10:25:59,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.823,,T,-1
1049,/2026-01-03,PXL_20260102_214140425.jpg,4241164,-36.860194,174.774556,3072,4080,2026:01:03 10:41:40,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.067,,F,-1
1050,/2026-01-03,PXL_20260102_214207754.jpg,3819908,-36.860194,174.774556,4080,3072,2026:01:03 10:42:07,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.414,,F,-1
1051,/2026-01-03,PXL_20260102_214226160.jpg,3542369,-36.860194,174.774556,3072,4080,2026:01:03 10:42:26,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.401,,F,-1
1052,/2026-01-03,PXL_20260102_214251993.jpg,4356081,-36.860194,174.774556,3072,4080,2026:01:03 10:42:51,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.492,2026-01-03/PXL_20260102_214441361.jpg,F,0.897147
