file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target
1032,/2025-04-22_sb,PXL_20250422_133708994.jpg,2043295,34.394661,-119.683922,4080,3072,2025:04:22 06:37:08,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.064,,T
1033,/2025-04-22_sb,PXL_20250422_133835326.jpg,1693778,34.394636,-119.683936,4080,3072,2025:04:22 06:38:35,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.865,2025-04-22_sb/PXL_20250422_133708994.jpg,F
1034,/2025-04-22_sb,PXL_20250422_134222072.jpg,2197367,34.395361,-119.683458,4080,3072,2025:04:22 06:42:22,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.331,,F
1035,/2025-04-22_sb,PXL_20250422_134227671.jpg,1593117,34.395361,-119.683458,4080,3072,2025:04:22 06:42:27,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.914,2025-04-22_sb/PXL_20250422_133708994.jpg,F
1036,/2025-04-22_sb,PXL_20250422_145258006.jpg,1910870,34.39575,-119.680858,4080,3072,2025:04:22 07:52:58,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.550,,F
1037,/2025-04-22_sb,PXL_20250422_152946371.jpg,1803455,34.406181,-119.696808,3072,4080,2025:04:22 08:29:46,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.136,2025-04-22_sb/PXL_20250422_154134494.jpg,F
1038,/2025-04-22_sb,PXL_20250422_154134494.jpg,2699609,34.405028,-119.701153,3072,4080,2025:04:22 08:41:34,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.372,,T
1039,/2025-04-22_sb,PXL_20250422_162755397.jpg,4559663,34.423853,-119.701853,3072,4080,2025:04:22 09:27:55,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.398,2025-04-22_sb/PXL_20250422_163351357.jpg,F
1040,/2025-04-22_sb,PXL_20250422_162811287.jpg,4620930,34.423853,-119.701853,3072,4080,2025:04:22 09:28:11,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.544,2025-04-22_sb/PXL_20250422_163351357.jpg,F
1041,/2025-04-22_sb,PXL_20250422_163002602.jpg,4010560,34.423942,-119.702436,3072,4080,2025:04:22 09:30:02,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.366,2025-04-22_sb/PXL_20250422_163005348.jpg,F
